Java 基础
# Java 基础阶段常用的基本关键字和常用单词
public 公有的
private 私有的
protected 保护的
class 类, 类型
void 空白, 无返回值
static 静态的
final 最终的
String 字符串
int 整数类型
long 长整型
double 双倍, 双精度浮点数
float 浮动, 浮点数
boolean 布尔类型
byte 字节
bit 位
Binnary 二进制
short 短的, 16位整数
char 字符, 字符类型
name 姓名
phone 电话
email 电子邮件
windows windows操作系统
linux linux操作系统
clear 清空
JVM java虚拟机
JRE java运行环境
JDK java开发工具包
IDE 集成开发环境
eclipse 日食
JAVA_HOME java的家
path 路径
CLASSPATH 类路径
package 包
class 类，类型
main 主要的
System 系统
out 出
print 打印
println 打印并换行
variable 可变的
byte 字节
short 短的，16位整型
int 整型
long 长整型
float 浮动, 浮点数
double 双倍, 双精度浮点数
boolean 布尔类型
char 字符，字符类型
String 字符串
bit 位
Binnary 二进制
true 真
false 假
age 年龄
sex 性别
address  地址
salary 工资
score 成绩
studentName 老师姓名
englishTeacherName 英语老师姓名
javaScore java成绩
cardId 卡号
cardPwd 卡密码
love 爱
you 你
import 引入、导入
scanner 扫描器
day 日
month 月
year 年
if 如果
else 否则
switch 开关
case 实例、情况
break 间断、打破
continue 继续
max 大
min 小
count 数量
num 数字
while 当...的时候
do 做
for 为了、循环方式
guess 猜
sum 和
array 队列、数组
length 长度
Math 数学
random 随机的
arraycopy 数组复制
Arrays 数组s
copyOf 复制
sort 排序
sqrt 平方根
flag 旗帜
say 说
sayHi 问好
plus 加
public 公有的
private 私有的
protected 保护的
static 静态的
void 空白, 无返回值
return 返回
workspace 工作空间
home 家
OS 操作系统
profile 外形、轮廓
Integrate 集成
Development 开发
Environment 环境
literal 直接量
distance 距离
currentTimeMillis 当时时间毫秒数
money 金钱
price 价格
totalPrice 总价格
change 改变、变化
Unicode 统一码
ASCII ascii码表
child 孩子
run 运行
close 关闭
percent 百分比、百分数
size 大小
balance 余额
width 宽
height 高
index 索引
LeapYear 闰年
console 控制台
unitPrice 单价
amount 数量
command 命令
result 结果
answer 答案
total 总的
inputPwd 输入的密码
temp 临时的
src 源
srcPos 源位置
dest 目标
destPos 目标位置
original 原始的
newLength 新长度
bubble 冒泡
game 游戏
count 数量
input 输入
generate 生成
next 下一个
trim 整理、整齐
UpperCase 大写字母
equals 相等的
toCharArray 转为char数组
check 检查
letter 字母
cashier 出纳
tax 税
taxIncome 征收所得税
nine 九
prime 重要的、基本的
level 级别
