Java 面向对象
# 面向对象阶段应该会的单词
extends 扩展, 继承
implements 实现
Object 对象, 物件
field 字段, 属性
property 属性
method 方法
class 类
gender 性别
Emp 雇员
public 公共的
class 类
null 空
pointer 指针
Exception 异常
NullPointerException 空指针异常
address 地址
study 学习
teach 教课
eat 吃
sleep 睡
student 学生
teacher 老师
cell 格、格子
row 行
col 列
column 列
drop 下落
move 移动
left 左
right 右
get 得到、获取
info 信息
moveLeft 左移
moveRight 右移
getCellInfo 得到格子的信息
print 打印、输出
room 房间
classroom 教室
width 宽
height 高
image 图片
move 移动
shoot 发射
course 课程
pay 支付
this 这个
study 学习
teach 教课
cut 切
eat 吃饭
sleep 睡觉
tetromino 四格拼板
extends 扩展, 继承
implements 实现
Object 对象, 物件
field 字段, 属性
property 属性
method 方法
class 类
animal 动物
tiger 老虎
person 人
create 创建
apple 苹果
banana 香蕉
super 超级
new 新的、新建
override 重写
overload 重载
case 案例
show 显示
test 测试
package 包
import 引入、导入
public 公共的
private 私有的
protected 受保护的
static 静态的
final 最终的
password 密码
customer 顾客、帐户
customerName 帐户姓名
customerPwd 帐户密码
Shape 图形
area 面积
Circle 圆形
Square 方形
maxArea 最大面积
unionPay 银联
ICBC 中国工商银行
ABC 中国农业银行
CCB 中国建设银行
instance 实例、例子
frame 框架
setSize 设置大小
printInfo 输出信息
printCell 打印格子
totalRow 总行数
totalCol 总列数
return 返回
cashier 出纳
pay 支付
payByCash 现金支付
payByCard 卡支付
payByCheck 支票支付
companyName 公司名称
getCellInfo 获取格子信息
GC 垃圾回收器
garbage 垃圾
collection 集合
tetromino 四格拼板
value 值
printTetromino 输出四格拼板
mammal 哺乳动物
bird 鸟
color 颜色
base 基础的
point 点
distance 距离
cat 猫
car 汽车
tank 坦克
ostrich 驼鸟
fly 飞
bird 鸟
move 移动
parameter 参数
runner 赛跑者
hunter 猎人
speed 速度
getBalance 获取余额
drawMoney 取钱
checkPwd 检查密码
payOnline 在线支付
payTelBill 支付电话费
money 钱
pwd 密码
password 密码
number 数字
phoneNum 电话号码
parse 描述、分析
vehicle 车辆
author 作者
ClassCastException 类型转换异常
Outer 外面的
Inner 内部的
time 时间
execute 执行
action 动作、行为
insert 插入
out 出
menu 菜单、列表
all 所有的
exercise 练习
Object 对象
List 列表
add 添加
null 空
Hexagon 六边形
payGasBill 支付燃气费
bill 账单
shoot 射击、发射
game 游戏
ShootGame 射击游戏
airplane 飞机
speed 速度
FlyingObject 飞行物
Enemy 敌人
getScore 获取分数
step 移动、走步
bounds 边界
outOfBounds 出界、越界
DOUBLE_FIRE 双倍火力
life 命
bee 蜜蜂
getType 获取类型
award 奖励
awardType 奖励类型
bullet 子弹
image 图片
shoot 射击
shootBy 被射击
hero 英雄
addLife 加命
subtractLife 减命
moveTo 移动到
other 其它的、另外的
frame 框架
panel 面板
pause 暂停
gameover 游戏结束
start 开始
running 正运行
score 分数
timer 时间
interval 间隔
buffered 缓冲的
background 背景
fly 飞
IO 输入输出
read 读
resource 资源
getResource 获取资源
exception 异常
try 尝试
catch 抓住、捕获
paint 画
graphics 制图
state 状态
always 一直的、总是
top 上方
setAlwaysOnTop 设置总在最上
default 默认的
visible 可见的、可视的
action 行动
mouse 鼠标
adapter 适配器
mouseEntered 鼠标进入
mouseExited 鼠标退出
mouseClick 鼠标点击
mouseEvent  鼠标事件
key 关键, 按键
listener 侦听
motion 运动、滑动
addMouseListener 添加鼠标监听器
addMouseMotionListener 添加属性一点监听器
schedule 时间计划
interval 间隔
nextOne 下一个
flyEnteredIndex 飞行物入场计数
shootIndex 射击计数
bang 碰撞





