Oracle JDBC 阶段单词
# Oracle JDBC 阶段常用单词列表
select 选择
from 从...里
where 哪里，在哪里
insert 插入
update 更新
delete 删除
into 进入
employee 员工
department 部门
salary 薪水
table 表格
database 数据库
management 管理
relational 关系的，关系型
row 行
record 记录
column 列
field 字段
query 查询
definition 定义
Manipulation 操作
Transaction 事务
unit 单元
resource 资源
connect 连接
disconnected 断开连接
default 默认
unique 唯一
constraint 约束
references 参照，引用
foreign 外部
primary 主要
modify 修改
condition 条件
truncate 截断，缩短
commit 提交
rollback 回滚
purge 清除
recycle 回收
concat 把...和...连接
pad 填充
ceil 天花板，上取整
floor 地板，下取整
round 圆形，圆弧，四舍五入
modulus 模数
timestamp 时间戳
least 最小的，最少的
greatest 最大的，最多的
extract 提取
average 平均数
group 小组，分组
manager 管理者
join  连接，联结，加入
distinct 有区别的
decode 解码，译码
bonus 奖金
salesman 雇员；销售
analyst 分析师
partition  划分，分开 
over 在…上面
rank 阶层，等级
dense 密集的
union 联合
rollup 逐级归纳
cube 立方体，立方形
Intersect 相交，交叉
Minus 减号，负号
index 下标，索引
view 视图
grant 授予
sequence 序列
cycle 循环
cache 缓存
auto 自动
increment 增长
current 当前，现在
modeler 建模
statement 语句
resultset 结果集
register 注册
execute 执行
property 属性
utility 有多种用途的
common 公用的，共用的
pool 池
Idle 空闲的，懒散的
initial 最初的，开始的
Prepared 准备好的
interpreter 解释器
injection 注射
sensitive 敏感的
insensitive 迟钝的
forward 向前，前进
concurrency 并发
atomicity 原子性
consistency 一致性
isolation 隔离性
durability 持久性
transfer 转移，转帐
deposite 存钱
withdraw 取钱
balance 余额
batch 一批
Generated 生成的
encapsulation 封装
