HTML/CSS Java Script
# HTML/CSS Java Script 阶段的常用单词
document 文档
file 文件
get 获得
set 设置
Array 数组
function 函数, 功能
Number 数字
browser 浏览器
protocol 协议
form 表单
button 按钮
paragraph 段落
division 分区，分开
align 排列，对齐
style 样式
strict 严格
transitional 过渡的，传统的
meta 元
script 脚本
span  缚住或扎牢 
anchor 锚，抛锚
uniform 一样的，一致的
source 源
Hypertext 超文本
block 块
inline 内联
target 对象，目标
unordered 无序的
ordered 有序的
sheet 表格
caption 标题
nest 嵌套，巢
submit 提交
radio 放射
label 标签
check 打勾，核对
multiple 多个的
option 选项
legend 铭文
scroll 从上到下移动
cascade 串联
background 背景
link 链接
operate 操作
paging 分页
width 宽度
height 高度
font 字体
hover 盘旋，徘徊
decoration 装饰
underline 下划线
border 边框
solid 直线
overflow 溢出，挤满
hidden 隐藏
visible 可见
margin 边缘，范围
repeat 重复
navigation 导航
position 位置
collapse 合并
separate 分开
spacing 间隔
cursor 光标
relative 相对
absolute 绝对
undefined 未定义
alert 警告
confirm 确认
element 元素
slice 切下，划分
evaluate 评估
focus 焦点
blur 模糊，失去焦点
event 事件
history 历史
interval 间隔
Rotate 轮换
display 显示
validate 验证
parent 父级
sibling 兄弟
previous 前一个
inner 内部的
tag 标签
append 追加
prototype 原型
notation 记号
drag 拖拽
volunteer 志愿者
racer 参赛选手
