Servlet/JSP/Ajax 阶段
#涉及到的部分单词
http 超文本传输协议
browser 浏览器
server 服务器
service 服务
status 状态
cookie 小甜饼，点心
layer 层
keep-alive 保持连接性
user-agent 用户代理
content-type 内容类型
charset 字符集
pageEncoding 页面编码
forward 向前，发送
quote 引述，引用
filter 过滤器
listener 监听器
regist 注册
servlet 服务器端小程序 
name 名字
web 蜘蛛网, 网络
mapping 映射
sun 太阳
html 超文本标记语言
pattern 模式
port 端口
home 家
startup 启动
shutdown 关机
work 工作
path 道路
temp 临时
localhost 本地主机
extends 继承
close 关闭
request 请求
response 响应
example 例子
version 版本
instance 实例
address 地址
net 网
project 工程
finish 结束
default 系统默认值
location 位置
source 来源
system 系统
library 文库，库
index 索引
session 会话
application 应用程序
context 上下文
out 输出
writer 作者, 书写者
write 写
reader 读者
login 登入
logout 登出
ServletContext Servlet上下文
HttpServlet HttpServlet
HttpServletRequest Http请求
HttpServletResponse Http响应
post Post请求
get Get请求
HttpSession Http会话
URL 统一资源定位
JSTL 标准标签库
core 核心
format 格式化
ajax 异步Json请求
query 查询
form  表单






