Spring MyBatis 阶段
# Spring 和 MyBatis框架阶段
Spring 春天
MyBatis MaBatis
bean 豆荚
component 组件
property 属性
Framework 框架
JavaBean Java组件
factory 工厂
application 应用,应用程序
context 上下文, 环境
ClassPath 类路径 
alias 别名
prototype 原型
singleton 单例
classpath class路径
IOC 控制反转
Component 组件
Repository 仓库
Autowired 注入
DispatcherServlet Spring MVC主控制器
HandlerMapping 映射处理器
ModelAndView 模型和视图
ViewResolver 视图解析器
Resolver 解析处理器
Internal 内部的
Resource 资源
Simple 简单的
URL 统一资源定位
Handler 控制句柄
Character 字符
Encoding 编码
Filter 过滤器
Interceptor 拦截器
ExceptionHandler 异常处理器
ExceptionResolver 异常处理器
Commons 通用的
Multipart 多部分组成的
DataAccessException 数据访问异常
JdbcTemplate Jdbc模板
JdbcDaoSupport dao支持类
RequestMapping 请求映射
RequestParam 请求参数
ModelMap 模型Map
ModelAttribute 模型属性
Attribute 属性
inversion 反转
control 控制
dependency 依赖
injection 注入
AOP 面向方面编程
aspect 方面
oriented 面向
pointcut 切入点
advice 通知
autoproxy 自动代理
SqlSession 数据库会话
Factory 工厂
Builder 创建器
SqlSessionFactory sqlsession工厂
resultType 返回类型
resultMap 返回Map
MyBatis 数据库访问框架
Mapper 映射器 
Scanner 扫描器
Configurer 配置器
Template 模板
association  关联
discriminator 区分
restful 状态转移
ResponseBody 响应体
execution 执行
applicationContext 应用程序上下文
ClassPathXmlApplicationContext 应用程序上下文
ExceptionHandler 异常处理器
HandlerExceptionResolver 异常处理器


