大数据
# 大数据方向常用词汇
Nginx http负载均衡软件
LVS 负载均衡软件
LVS-DR lo分发模式
LVS-NAT NAT分发模式
LVS-TUN 隧道分发模式
RR 轮询算法
WRR 权重轮询算法
LC 最小连接算法
WCL 权重最小连接算法
LBLC 地区最少连接算法
LBLCR 复制地区最少连接算法
DH 目标散列算法
SH 源散列算法
SED 最短期望延迟算法
NQ 最少队列算法
Squit 反向代理缓存
Varnish 反向代理缓存
NFS 远程文件系统
VFS 虚拟文件系统
PaceMaker 高可用管理器
Corosync 高可用同步
Heartbeat 高可用心跳检测
Keepalived 高可用心跳检测
DRBD 磁盘镜像
RSync 磁盘同步
Amoeba MYSQL读写分离
Hadoop 大数据平台
HDFS 分布式文件系统
MapReduce 分布式计算
Tez DAG计算框架
DAG 有向无环图
Oozie MapReduce流程
Hbase 列数据库
Cassandra 列数据库
Mongodb 文档数据库
CouchDB 文档数据库
LevelDB kv数据库
Redis kv数据库
Memcached kv数据库
Hive hadoop数据仓库
Pig 类SQL框架
SparkSQL SPARKSQL框架
Drill 大数据SQL
Crunch 大数据SQL
Phoenix HbaseSQL框架
Greenplum 数据仓库
Mahout 数据挖掘库
Mlib 数据挖掘库
Hama 并行计算
GraphX 图计算
Giraph 图计算
Neo4j 图计算
Zookeeper 分布式管理
Flume 日志收集
Scribe 日志收集
Chukwa 日志收集监控
ETL 抽取转换加载
Sqoop ETL工具
Kettle ETL工具
Kafka 消息队列
Samza 消息队列
RabbitMQ 消息队列
AMQP 消息队列协议
MQTT 消息队列协议
Storm 流计算
Spark 内存计算
S4 流计算
Nutch 分布式爬虫
Lucene 索引搜索库
Solr 分布式搜索框架
Yarn 分布式调度平台
Mesos 分布式调度平台
Thrift RPC及序列化
ProtocolBuffer RPC及序列化
Avro RPC及序列化
Marshaling RPC及序列化
Ambari Hadoop管理平台
Zabbix 运维管理平台
Nagios 运维管理平台
Ganglia 运维管理平台
FastDFS 分布式文件系统
MooseFS 分布式文件系统
Riak 分布式文件系统
Gluster 分布式文件系统
Bookkeeper 高可用文件系统
SAP HANA 内存数据库
Splunk 数据分析工具
Informatica ETL工具
C4.5 分类决策树算法
K-Means 聚类算法
Apriori 频繁项集算法
EM 聚类算法
PageRank 网站价值评估
AdaBoost 分类模型
KNN 分类算法
NBC 朴素贝叶斯
CART 回归树
ANNs 神经网络
RandomFerns 随机森林
